"Câu 1: Theo quan niệm của Người Hy Lạp cổ đại, triết học (philosophia) mang nghĩa là…",A. giải thích vũ trụ,B. định hướng nhận thức và hành vi,C. khát vọng tìm kiếm chân lý của con người,"D. Cả A, B, C"
Câu 2: Chọn câu trả lời đúng nhất: Triết học ra đời….,A. chỉ ở phương Đông,B. chỉ ở phương Tây,C. cả phương Đông và phương Tây,"D. Cả A, B, C đều sai"
Câu 3: Nguồn gốc nhận thức của triết học là gì?,A. Tri thức loài người đã hình thành được một vốn hiểu biết nhất định,"B. Tư duy con người đạt đến trình độ khái quát hóa, trừu tượng hóa",C. Tri thức của các khoa học cụ thể dần hình thành,"D. Cả A, B, C"
Câu 4: Nguồn gốc xã hội của triết học là gì?,"A. Chế độ tư hữu xuất hiện, phân công lao động xã hội","B. Xã hội phân chia giai cấp, có đối kháng giai cấp, nhà nước xuất hiện",C. Sự xuất hiện của lao động trí óc,"D. Cả A, B, C"
"Câu 5: Triết học Mác – Lênin phục vụ, phản ánh lợi ích của giai cấp nào?",A. Giai cấp công nhân,B. Giai cấp nông dân,C. Đội ngũ trí thức,D. Giai cấp tư sản
Câu 6: Để ra đời triết học cần mấy nguồn gốc?,A. 2,B. 3,C. 4,D. 5
"Câu 7: Ở Trung Quốc, triết học với nghĩa….","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm",C. là yêu mến sự thông thái,D. không có phương án đúng
"Câu 8: Theo người Trung Quốc, triết học là…?",A. biểu hiện cao của trí tuệ,B. sự hiểu biết sâu sắc của con người về toàn bộ thế giới thiên - địa – nhân,C. định hướng nhân sinh quan cho con người,"D. Cả A, B, C"
"Câu 9: Ở Ấn Độ, triết học với nghĩa…","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm đưa người ta đến lẽ phải",C. là yêu mến sự thông thái,D. Không có phương án đúng
"Câu 10: Ở Hy Lạp, triết học với nghĩa…","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm",C. là yêu mến sự thông thái,D. không có phương án đúng
"Câu 11: Hệ thống triết học nào quan niệm, triết học là “yêu mến sự thông thái”?",A. Triết học Trung Quốc cổ đại,B. Triết học Ấn Độ cổ đại,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
"Câu 12: Hệ thống triết học nào quan niệm, triết học là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy nghĩ để dẫn dắt con người đến với lẽ phải",A. Triết học Trung Quốc cổ đại,B. Triết học Ấn Độ cổ đại,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
"Câu 13: Điền thuật ngữ đúng vào chỗ trống: “Triết học là hệ thống quan điểm [...] về thế giới và vị trí con người trong thế giới đó, là khoa học về những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy”.",A. lí luận chung nhất,B. lí luận,C. thực tiễn,D. kinh nghiệm
"Câu 14: Hệ thống triết học nào quan niệm: “Triết học là hệ thống quan điểm lí luận chung nhất về thế giới và vị trí con người trong thế giới đó, là khoa học về những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy”.",A. Triết học cổ điển Đức,B. Triết học Trung Quốc cổ đại,C. Triết học Ấn Độ cổ đại,D. Triết học Mác - Lênin
"Câu 15: Điền cụm từ đúng vào chỗ trống sau: ... là hệ thống tri thức lý luận chung nhất của con người về thế giới, về bản thân con người và vị trí của con người trong thế giới đó.",A. Chủ nghĩa duy vật,B. Chủ nghĩa duy tâm,C. Triết học,D. Thế giới quan
Câu 16: Triết học là ….,A. hạt nhân của thế giới quan,B. một phần của thế giới quan,C. toàn bộ thế giới quan,D. không có đáp án đúng
Câu 17: Nền “Triết học tự nhiên” đã đạt được thành tựu rực rỡ trong nền triết học nào?,A. Triết học Trung Quốc cổ đại,B. Triết học Ấn Độ cổ đại,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
Câu 18: Nền “Triết học kinh viện” thống trị trong thời kỳ nào?,A. Triết học Trung Quốc cổ đại,B. Triết học Tây Âu thời Trung cổ,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
Câu 19: Nền triết học nào được Ph. Ăngghen đánh giá là đã có mầm mống và đang nảy nở hầu hết tất cả các loại thế giới quan sau này…,A. Triết học Trung Quốc cổ đại,B. Triết học Tây Âu thời Trung cổ,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
"Câu 20: Chọn phương án đúng nhất điền vào chỗ trống: Triết học Mác – Lênin xác định đối tượng nghiên cứu của triết học là những …… của tự nhiên, xã hội và tư duy.",A. quy luật chung nhất,B. quy luật đặc thù,C. tất cả quy luật,D. một số quy luật
Câu 21: Thế giới quan bao gồm những thành phần chủ yếu nào?,A. Tri thức,B. Niềm tin,C. Lý tưởng,"D. Cả A, B, C"
Câu 22: Hãy chỉ ra một thành phần đúng thuộc về thế giới quan…,A. tri thức,B. kinh tế,C. chính trị,D. xã hội
Câu 23: Hãy chỉ ra một thành phần đúng thuộc về thế giới quan…,A. niềm tin,B. kinh tế,C. chính trị,D. xã hội
Câu 24: Thế giới quan bao gồm những hình thức chủ yếu…,A. thế giới quan tôn giáo,B. thế giới quan khoa học,C. thế giới quan triết học,"D. Cả A, B, C"
Câu 25: Thế giới quan duy vật biện chứng bao gồm…,A. tri thức khoa học,B. niềm tin khoa học,C. lý tưởng khoa học,"D. Cả A, B, C"
"Câu 26: Theo Ph. Ăngghen, vấn đề cơ bản lớn của mọi triết học là…",A. vật chất,B. ý thức,C. mối quan hệ giữa tư duy và tồn tại,D. thế giới vật chất
Câu 27: Vấn đề cơ bản lớn của mọi triết học có mấy mặt?,A. 1,B. 2,C. 3,D. 4
"Câu 28: Việc giải quyết mặt thứ nhất của vấn đề cơ bản của triết học đã chia các nhà triết học thành hai trường phái lớn, đó là…?",A. Chủ nghĩa duy vật và chủ nghĩa duy tâm,B. Khả tri luận và bất khả tri luận,C. Hoài nghi luận và bất khả tri luận,D. Duy tâm chủ quan và duy tâm khách quan
"Câu 29: Trong quá trình phát triển, chủ nghĩa duy tâm có mấy hình thức cơ bản...",A. 5,B. 2,C. 3,D. 4
"Câu 30: Những nhà triết học, trường phái triết học cho rằng, ý thức, tinh thần là cái có trước giới tự nhiên, quyết định giới tự nhiên là….",A. Chủ nghĩa duy vật,B. Chủ nghĩa duy tâm,C. Bất khả tri,D. Nhị nguyên luận
"Câu 31: Những nhà triết học, trường phái triết học cho rằng vật chất, giới tự nhiên là cái có trước và quyết định ý thức là….",A. Chủ nghĩa duy vật,B. Chủ nghĩa duy tâm,C. Bất khả tri,D. Nhị nguyên luận
"Câu 32: Trường phái, học thuyết triết học nào thừa nhận chỉ một trong hai thực thể (vật chất hoặc tinh thần) là nguồn gốc của thế giới, quyết định sự vận động của thế giới được gọi là…",A. Nhất nguyên luận,B. Nhị nguyên luận,C. Đa nguyên,D. Không có phương án đúng
"Câu 33: Trường phái, học thuyết triết học nào giải thích thế giới bằng cả hai bản nguyên vật chất và tinh thần, xem vật chất và tinh thần là hai bản nguyên có thể cùng quyết định nguồn gốc và sự vận động của thế giới gọi là…",A. Nhất nguyên luận,B. Nhị nguyên luận,C. Đa nguyên,D. Không có phương án đúng
Câu 34: Việc giải quyết mặt thứ nhất vấn đề cơ bản của triết học đã chia các nhà triết học thành mấy trường phái lớn …?,A. 2,B. 3,C. 4,D. 5
Câu 35: Trường phái triết học nào giải thích mọi hiện tượng của thế giới này bằng các nguyên nhân vật chất – nguyên nhân tận cùng của mọi vận động của thế giới này là nguyên nhân vật chất.,A. Chủ nghĩa duy vật,B. Chủ nghĩa duy tâm,C. Bất khả tri,D. Nhị nguyên luận
"Câu 36: Trường phái triết học nào giải thích mọi hiện tượng của thế giới này bằng các nguyên nhân tư tưởng, tinh thần – nguyên nhân tận cùng của mọi vận động của thế giới này là nguyên nhân tinh thần.",A. Chủ nghĩa duy vật,B. Chủ nghĩa duy tâm,C. Bất khả tri,D. Nhị nguyên luận
Câu 37: Chủ nghĩa duy tâm chủ quan thừa nhận...,A. tính thứ nhất của vật chất,B. tính thứ nhất của thế giới,C. tính thứ nhất của “ý niệm tuyệt đối”,D. tính thứ nhất của ý thức con người
"Câu 38: Tục ngữ Việt Nam cho rằng: “Cha mẹ sinh con, trời sinh tính”, quan điểm trên thuộc lập trường triết học nào?",A. Chủ nghĩa duy tâm khách quan,B. Chủ nghĩa duy vật chất phác,C. Chủ nghĩa duy tâm chủ quan,D. Chủ nghĩa duy vật siêu hình
"Câu 39: Trường phái triết học nào khẳng định mọi sự vật, hiện tượng chỉ là “phức hợp của những cảm giác”.",A. Chủ nghĩa duy tâm khách quan,B. Chủ nghĩa duy vật chất phác,C. Chủ nghĩa duy tâm chủ quan,D. Chủ nghĩa duy vật siêu hình
"Câu 40: Trường phái triết học nào khẳng định tính thứ nhất của ý thức con người. Phủ nhận sự tồn tại khách quan của hiện thực, khẳng định mọi sự vật, hiện tượng chỉ là phức hợp của những cảm giác.",A. Chủ nghĩa duy tâm khách quan,B. Chủ nghĩa duy vật chất phác,C. Chủ nghĩa duy tâm chủ quan,D. Chủ nghĩa duy vật siêu hình
"Câu 41: Trường phái triết học nào khẳng định tính thứ nhất của ý thức, coi đó là thứ tinh thần khách quan như ý niệm, tinh thần tuyệt đối, lý tính thế giới… có trước và tồn tại độc lập với con người.",A. Chủ nghĩa duy tâm khách quan,B. Chủ nghĩa duy vật chất phác,C. Chủ nghĩa duy tâm chủ quan,D. Chủ nghĩa duy vật siêu hình
"Câu 42: Điền vào chỗ trống: Những nhà triết học cho rằng vật chất, giới tự nhiên là cái có trước và quyết định đối với ý thức của con người được gọi là……. Học thuyết của họ hợp thành…..",A.	các nhà duy tâm…chủ nghĩa duy tâm,B.	các nhà duy vật…chủ nghĩa duy vật,C.	các nhà có thể biết… thuyết có thể biết,D.	các nhà nhị nguyên…chủ nghĩa hoài nghi 
"Câu 43: Điền vào chỗ trống: Những nhà triết học cho rằng ý thức, tinh thần, ý niệm, cảm giác là cái có trước, cái quyết định đối với giới tự nhiên, được gọi là……..Học thuyết của họ hợp thành…….",A.	các nhà duy tâm… chủ nghĩa duy tâm,B.	các nhà duy vật…chủ nghĩa duy vật,C.	các nhà có thể biết…thuyết có thể biết,D.	các nhà nhị nguyên…chủ nghĩa hoài nghi
Câu 44: Điền vào chỗ trống..............là những học thuyết khẳng định khả năng nhận thức của con người đối với thế giới.,A.	Thuyết có thể biết,B.	Thuyết không thể biết,C.	Thuyết hoài nghi,D.	Thuyết bất khả tri
Câu 45: Điền vào chỗ trống …… là những học thuyết phủ nhận khả năng nhận thức của con người đối với thế giới.,A.	Thuyết có thể biết,B.	Thuyết không thể biết,C.	Thuyết hoài nghi,D.	Thuyết khả tri
Câu 46: Điền vào chỗ trống ….. là những học thuyết nghi ngờ khả năng nhận thức thế giới của con người hoặc những tri thức mà con người đã đạt được.,A.	Thuyết có thể biết,B.	Thuyết không thể biết,C.	Thuyết hoài nghi,D.	Chủ nghĩa duy vật
Câu 47: Chọn phương án đúng về sự khác biệt giữa chủ nghĩa duy tâm và tôn giáo là ở chỗ…. ,"A.	tôn giáo lấy lòng tin là cơ sở chủ yếu, còn chủ nghĩa duy tâm triết học lại là sản phẩm của tư duy lý tính dựa trên cơ sở tri thức và lý trí","B.	chủ nghĩa duy tâm lấy lòng tin là cơ sở chủ yếu, còn tôn giáo lại là sản phẩm của tư duy lý tính",C.	chủ nghĩa duy tâm và tôn giáo đều phủ nhận sự sáng tạo của một lực lượng siêu nhiên,D.	không có đáp án đúng
Câu 48: Chọn phương án đúng về sự giống nhau giữa chủ nghĩa duy tâm và tôn giáo là ở chỗ….,A.	tôn giáo và chủ nghĩa duy tâm lấy lòng tin là cơ sở chủ yếu,B.	tôn giáo và chủ nghĩa duy tâm đều đề cao vai trò của ý thức con người,C.	chủ nghĩa duy tâm và tôn giáo đều thừa nhận sự sáng tạo của một lực lượng siêu nhiên nào đó đối với toàn bộ thếgiới,"D.	Đều thừa nhận vật chất có trước, ý thức có sau"
Câu 49: Việc giải quyết mặt thứ hai vấn đề cơ bản của triết học là căn cứ để phân chia các học thuyết triết học thành…?,A.	Chủ nghĩa duy vật và chủ nghĩa duy tâm,B.	Khả tri luận và bất khả tri luận,C.	Biện chứng và siêu hình,D.	Duy tâm chủ quan và duy tâm khách quan
Câu 50: Điền thuật ngữ thích hợp vào chỗ trống:…..là những học thuyết nhận thức thừa nhận khả năng nhận thức thế giới của con người. Đa số các nhà triết học (cả duy vật và duy tâm) đều khẳng định con người có thể nhận thức được bản chất của sự vật.,A.	Chủ nghĩa duy vật,B.	Khả tri luận,C.	Chủ nghĩa duy tâm,D.	Hoài nghi luận
"Câu 51: Điền thuật ngữ thích hợp vào chỗ trống:….. là những học thuyết triết học phủ nhận khả năng nhận thức của con người. Theo thuyết này, con người không thể hiểu được đối tượng, kết quả nhận thức mà loài người có được, chỉ là hình thức bề ngoài, hạn hẹp và cắt xén về đối tượng, đó không phải là cái tuyệt đối tin cậy.",A.	Chủ nghĩa duy vật,B.	Bất khả tri luận,C.	Chủ nghĩa duy tâm,D.	Hoài nghi luận
Câu 52: Chọn đáp án đúng nhất: Triết học Mác – Lênin xác định đối tượng nghiên cứu của triết học là…,A.	các quy luật chung của thế giới tự nhiên,B.	các quy luật chung của xã hội.,C.	các quy luật chung của tư duy,"D.	các quan hệ phổ biến và những quy luật chung nhất của tự nhiên, xã hội và tư duy"
"Câu 53: Chọn đáp án đúng nhất, cấu trúc của thế giới quan gồm:",A.	Tri thức và lý tưởng,B.	Niềm tin và lý tưởng,"C.	Tri thức, niềm tin và lý tưởng",D.	Tri thức và niềm tin
Câu 54: Chọn đáp án đúng nhất: Các hình thức cơ bản của thế giới quan gồm…,"A.	thế giới quan thần thoại, thế giới quan tôn giáo","B.	thế giới quan thần thoại, thế giới quan tôn giáo và thế giới quan triết học","C.	thế giới quan tôn giáo, thế giới quan triết học",D.	thế giới quan duy vật và thế giới quan tôn giáo
"Câu 55: Chọn đáp án đúng nhất, vai trò cơ bản của thế giới quan là:",A.	Định hướng cho con người trong nhận thức và thực tiễn,B.	Định hướng cho hành động của con người,C.	Định hướng suy nghĩ và hành vi của con người,D.	Định hướng cho tu duy và tình cảm của con người
Câu 56: Nguồn gốc xã hội của chủ nghĩa duy tâm là…,A.	Sự tách rời đó là sự tách rời lao động trí óc với lao động chân tay ,B.	Địa vị thống trị của lao động trí óc đối với lao động chân tay trong các xã hội ,C.	Đề cao lao động trí óc nên tạo ra quan niệm về vai trò quyết định của nhân tố tinh thần,"D.	Cả A,B,C"
"Câu 57: Điền thuật ngữ thích hợp vào chỗ trống:….. là kết quả nhận thức của các nhà triết học duy vật thời cổ đại, họ thừa nhận tính thứ nhất của vật chất nhưng đồng nhất vật chất với một hay một số chất cụ thể của vật chất và đưa ra những kết luận mà mang nặng tính trực quan, ngây thơ, chất phác.",A.	Chủ nghĩa duy vật chất phác,B.	Chủ nghĩa duy vật siêu hình,C.	Chủ nghĩa duy vật biện chứng,D.	Chủ nghĩa duy tâm khách quan
"Câu 58: Điền thuật ngữ thích hợp vào chỗ trống:….. là hình thức cơ bản thứ hai trong lịch sử của chủ nghĩa duy vật, chịu sự tác động mạnh mẽ của phương pháp tư duy siêu hình, cơ giới - phương pháp nhìn thế giới như một cỗ máy khổng lồ mà mỗi bộ phận tạo nên thế giới đó về cơ bản là ở trong trạng thái biệt lập và tĩnh tại.",A.	Chủ nghĩa duy vật chất phác,B.	Chủ nghĩa duy vật siêu hình,C.	Chủ nghĩa duy vật biện chứng,D.	Chủ nghĩa duy tâm khách quan
Câu 59: Phương pháp siêu hình thống trị trong triết học Tây Âu vào những thế kỷ...?,A.	X - XI,B.	XVII - XVIII,C.	XI - XII,D.	XIII - XIV
Câu 60: Chọn một phương án đúng về phương pháp siêu hình?,"A.	Nhận thức đối tượng ở trạng thái cô lập, tách rời đối tượng khác",B.	Nhận thức đối tượng trong mối liên hệ phổ biến vốn có của nó,"C.	Nhận thức đối tượng ở trạng thái luôn vận động, biến đổi ",D.	Tất cả các phương án trên
Câu 61: Chọn một phương án đúng về phương pháp siêu hình?,"A.	Nhận thức đối tượng ở trạng thái tĩnh, đồng nhất đối tượng với trạng thái tĩnh nhất thời đó",B.	Nhận thức đối tượng trong mối liên hệ phổ biến vốn có của nó,"C.	Nhận thức đối tượng ở trạng thái luôn vận động, biến đổi",D.	Tất cả các phương án trên
Câu 62: Chọn một phương án đúng về phương pháp biện chứng?,"A.	Nhận thức đối tượng ở trạng thái tĩnh, đồng nhất đối tượng với trạng thái tĩnh nhất thời đó","B.	Nhận thức đối tượng ở trạng thái tĩnh, đồng nhất đối tượng với trạng thái tĩnh nhất thời đó",C.	Nhận thức đối tượng trong mối liên hệ phổ biến vốn có của nó,"D.	Cả A, B, C"
Câu 63: Chọn một phương án đúng về phương pháp biện chứng?,"A.	Nhận thức đối tượng ở trạng thái tĩnh, đồng nhất đối tượng với trạng thái tĩnh nhất thời đó","B.	Nhận thức đối tượng ở trạng thái luôn vận động, biến đổi","C.	Nhận thức đối tượng ở trạng thái cô lập, tách rời đối tượng khác","D.	Cả A, B, C"
"Câu 64: Chọn phương án đúng nhất: Trong hoạt động nhận thức và thực tiễn, nếu xem thường phương pháp luận triết học sẽ dẫn đến…","A.	chủ nghĩa giáo điều, dễ thất bại","B.	mò mẫm, dễ mất phương hướng, thiếu chủ động, sáng tạo","C.	duy ý chí, phiêu lưu",D.	Không có phương án đúng
Câu 65: Chức năng cơ bản của triết học Mác-Lênin là:,A.	Nghiên cứu những quy luật chung về thế giới,B.	Giải quyết mối quan hệ giữa vật chất và ý thức,C.	Thế giới quan và phương pháp luận,D.	Nghiên cứu những quy luật cụ thể về thế giới 
Câu 66: Chọn đáp án đúng nhất: Thế giới quan của triết học Mác- Lênin là:,A.	Thế giới quan duy vật,B.	Thế giới quan duy vật biện chứng,C.	Thế giới quan duy tâm,D.	Thế giới quan duy tâm biện chứng
Câu 67: Chọn đáp án đúng nhất: Thế giới quan của triết học Mác- Lênin là:,A.	Thế giới quan duy vật siêu hình,B.	Thế giới quan duy vật biện chứng,C.	Thế giới quan duy tâm siêu hình,D.	Thế giới quan duy tâm biện chứng
Câu 68: Chọn đáp án đúng nhất: Thế giới quan duy vật biện chứng của triết học Mác-Lênin là cơ sở khoa học để đấu tranh chống lại….,A.	Chủ nghĩa kinh viện,"B.	Chủ nghĩa duy tâm, tôn giáo, phản khoa học",C.	Chủ nghĩa kinh nghiệm,D.	Chủ nghĩa giáo điều
Câu 69: Cuộc cách mạng công nghiệp lần thứ nhất trong phương thức sản xuất tư bản chủ nghĩa diễn ra đầu tiên ở quốc gia nào?,A.	Anh,B.	Pháp,C.	Đức,D.	Nga
Câu 70: Chọn phương án đúng nhất: Công lao lớn nhất của G.W.Ph. Hêghen là...,A.	phê phán phương pháp siêu hình,B.	phê phán phương pháp siêu hình và xây dựng phép biện chứng duy tâm,C.	phê phán phương pháp biện chứng và xây dựng phép biện chứng duy vật,D.	phê phán phương pháp siêu hình và xây dựng chủ nghĩa duy vật
Câu 71: Công lao lớn nhất của L. Phoiơbắc là...,A.	đấu tranh chống chủ nghĩa duy vật,B.	đấu tranh chống chủ nghĩa duy tâm và tôn giáo ,C.	đấu tranh chống phương pháp siêu hình,D.	tất cả các phương án đều sai
Câu 72: Điền từ vào chỗ trống sau: C. Mác và Ph. Ăngghen đã phê phán tính chất... trong triết học G.W.Ph. Hêghen.,A.	duy vật chất phác,B.	duy vật siêu hình,C.	duy tâm thần bí,D.	duy tâm chủ quan
Câu 73: Một trong những tiền đề quan trọng cho bước chuyển biến tư tưởng của C.Mác và Ph.Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật là…,A.	phép biện chứng của G.W.Ph. Hêghen,B.	chủ nghĩa duy vật vô thần của L. Phoiơbắc,C.	tư tưởng kinh tế của A. Xmít,D.	tư tưởng xã hội chủ nghĩa của H. Xanh Ximông
Câu 74: Chọn phương án đúng nhất: Những tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa Mác là…,A.	triết học cổ điển Đức,B.	học thuyết Tế bào,C.	học thuyết Tiến hóa,"D.	Cả A, B, C đều sai"
Câu 75: Đối tượng nghiên cứu của triết học Mác - Lênin là….,"A.	giải quyết mối quan hệ giữa vật chất và ý thức trên lập trường duy vật biện chứng và nghiên cứu những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy","B.	những quy luật chính trị - xã hội của quá trình phát sinh, hình thành và phát triển của hình thái kinh tế - xã hội cộng sản chủ nghĩa","C.	những quy luật chính trị - xã hội của quá trình phát sinh, hình thành và phát triển của hình thái kinh tế - xã hội tư bản chủ nghĩa","D.	Cả A, B, C đều sai"
"Câu 76: Tác phẩm nào thể hiện tập trung việc V.I. Lênin đã kế thừa và phát triển quan niệm của triết học Mác về vật chất, về mối quan hệ giữa vật chất và ý thức, tồn tại xã hội và ý thức xã hội?",A.	Làm gì,B.	Chủ nghĩa duy vật và chủ nghĩa kinh nghiệm phê phán,C.	Ba nguồn gốc và ba bộ phận cấu thành chủ nghĩa Mác,D.	Bút ký triết học
Câu 77: Chức năng của triết học mácxít là gì? Chọn câu trả lời đúng.,A.	Chức năng làm cầu nối cho các khoa học,B.	Chức năng làm sáng tỏ cấu trúc ngôn ngữ,C.	Chức năng khoa học của các khoa học,D.	Chức năng thếgiới quan và phương pháp luận
Câu 78: Chủ nghĩa duy vật triết học bao gồm trường phái nào? Chọn câu trả lời đúng.,A.	Chủ nghĩa duy vật cổ đại,B.	Chủ nghĩa duy vật siêu hình,C.	Chủ nghĩa duy vật biện chứng,D.	Các phán đoán kia đều đúng
Câu 79: Khoa học nào là hạt nhân của thế giới quan? Chọn câu trả lời đúng. nhất.,A.	Toán học,B.	Triết học,C.	Chính trị học,D.	Khoa học tự nhiên
Câu 80: Những điều kiện kinh tế - xã hội của sự ra đời chủ nghĩa Mác? Chọn câu trả lời đúng.,A.	Sự củng cố và phát triển của PTSX tư bản Chủ nghĩa trong điều kiện cách mạng công nghiệp ,B.	Sự xuất hiện của giai cấp vô sản trên vũ đài lịch sử với tính cách một lực lượng chính trị - xã hội độc lập,C.	Thực tiễn cách mạng cuả giai cấp vô sản là cơ sở chủ yếu nhất cho sự ra đời triết học Mác,"D.	Cả A, B, C đều đúng"
Câu 81: Tiền đề lý luận của sự ra đời chủ nghĩa Mác? Chọn câu trả lời đúng.,"A.	Chủ nghĩa duy vật triết học của Phoiơbắc, Kinh tế học Anh, Chủ nghĩa xã hội không tưởng Pháp","B.	Triết học biện chứng của Hêghen, Kinh tế chính trị cổ điển Anh, tư tưởng xã hội chủ nghĩa của Pháp","C.	Kinh tế học của Anh, Chủ nghĩa xã hội Pháp, Triết học cổ điển Đức","D.	Triết học cổ điển Đức, Kinh tếchính trị cổ điển Anh, Chủ nghĩa xã hội không tưởng "
Câu 82: Tiền đề khoa học tự nhiên của sự ra đời chủ nghĩa Mác? Chọn phán đoán SAI.,A.	Quy luật bảo toàn và chuyển hoá năng lượng,B.	Thuyết tiến hoá của Đacuyn,C.	thuyết Tế bào ,D.	Nguyên tử luận
"Câu 83: Trong phương thức sản xuất tư bản chủ nghĩa, mâu thuẫn trong lĩnh vực kinh tế là mâu thuẫn giữa...",A.	Lực lượng sản xuất mang tính xã hội hóa với quan hệ sản xuất mang tính xã hội tư bản chủ nghĩa,B.	Lực lượng sản xuất mang tính cá nhân với quan hệ sản xuất mang tính xã hội tư bản chủ nghĩa,C.	Lực lượng sản xuất mang tính xã hội hóa với quan hệ sản xuất mang tính tư nhân tư bản chủ nghĩa,D.	Lực lượng sản xuất mang tính cá nhân với quan hệ sản xuất mang tính tư nhân tư bản chủ nghĩa
