"Câu 1: Theo quan niệm của Người Hy Lạp cổ đại, triết học (philosophia) mang nghĩa là…",A. giải thích vũ trụ,B. định hướng nhận thức và hành vi,C. khát vọng tìm kiếm chân lý của con người,"D. Cả A, B, C"
"Câu 84: Trong phương thức sản xuất tư bản chủ nghĩa, mâu thuẫn về phương diện chính trị - xã hội là mâu thuẫn giữa giai cấp...",A.	Vô sản với tư sản,B.	Chủ nô với nô lệ,C.	Nông dân với địa chủ,D.	Tất cả các phương án đều sai
"Câu 85: Trong phương thức sản xuất tư bản chủ nghĩa, mâu thuẫn sâu sắc giữa lực lượng sản xuất với quan hệ sản xuất bộc lộ qua cuộc khủng hoảng kinh tế lần thứ nhất vào năm...",A.	1824,B.	1825,C.	1826,D.	1827
"Câu 86 Phong trào đấu tranh của giai cấp vô sản vào những năm 30, 40 của thế kỷ XIX chứng tỏ rằng...",A.	Giai cấp tư sản là một lực lượng chính trị độc lập,B.	Giai cấp vô sản là một lực lượng chính trị- xã hội độc lập,C.	Phong trào vô sản là một phong trào tự giác,"D.	Giai cấp vô sản cần liên minh với địa chủ, phong kiến chống tư sản"
"Câu 87: Chọn phương án đúng nhất: Theo G.W.Ph. Hêghen, giới tự nhiên và xã hội loài người đều chỉ là sản phẩm của...",A.	Sự tự tha hóa của ý niệm tuyệt đối,B.	Sự sáng tạo của ý thức con người,C.	Quá trình tiến hóa của giới tự nhiên,D.	Tất cả các phương án đều sai
Câu 88: G.W.Ph. Hêghen sử dụng khái niệm “tha hóa” để chỉ sự “tha hóa” của...,A.	Ý niệm tuyệt đối,B.	Bản chất con người,C.	Lao động,D.	Đạo đức con người
Câu 89: Phát minh nào KHÔNG phải là một trong những tiền đề khoa học tự nhiên cho sự ra đời của triết học Mác? ,A.	Học thuyết Tế bào,B.	Học thuyết Tiến hóa,C.	Thuyết Nguyên tử,D.	Định luật Bảo toàn và Chuyển hóa năng lượng
Câu 90: Chọn phương án đúng nhất: Chủ nghĩa Mác - Lênin được cấu thành từ ba bộ phận lý luận cơ bản là...,"A.	Chủ nghĩa xã hội không tưởng, triết học Mác - Lênin, kinh tế chính trị Mác - Lênin","B.	Triết học Mác - Lênin, kinh tế chính trị Mác - Lênin, chủ nghĩa xã hội khoa học","C.	Kinh tế chính trị học, chủ nghĩa xã hội khoa học, triết học Mác - Lênin","D.	Chủ nghĩa xã hội khoa học, kinh tế chính trị cổ điển Anh, triết học cổ điển Đức"
Câu 91: L. Phoiơbắc sử dụng khái niệm “tha hóa” để chỉ sự tha hóa của:,A.	Bản chất con người trong tôn giáo,B.	Ý niệm tuyệt đối,C.	Lao động,D.	Đạo đức con người
"Câu 92: Nhà triết học đầu tiên diễn đạt nội dung của phép biện chứng dưới dạng lý luận chặt chẽ thông qua hệ thống các quy luật, phạm trù là:",A.	G.W. Ph. Hêghen,B.	L. Phoiơbắc,C.	Ph. Ăngghen,D.	C. Mác
Câu 93: Các nhà sáng lập chủ nghĩa Mác đã kế thừa “hạt nhân hợp lí” trong triết học của G.W. Ph. Hêghen để trực tiếp xây dựng nên:,A.	Chủ nghĩa duy vật biện chứng,B.	Phép biện chứng duy vật,C.	Chủ nghĩa duy vật lịch sử,D.	Tất cả các phương án đều sai
Câu 94: Những nhà chủ nghĩa xã hội không tưởng nào đã không luận chứng được một cách khoa học về bản chất và quy luật phát triển của chủ nghĩa tư bản? ,A.	A.Xmit và Đ. Ricácđô,"B.	H.Xanh Ximông, S. Phuriê và R. Ôoen",C.	C. Mác và Ph. Ăngghen,D.	Tất cả các phương án đều sai
Câu 95: Chọn phương án đúng nhất: Hai phát kiến vĩ đại của C. Mác trên lĩnh vực nghiên cứu triết học và kinh tế chính trị học là sáng tạo ra:,A.	Chủ nghĩa duy vật biện chứng và học thuyết giá trị,B.	Phép biện chứng duy vật và học thuyết giá trị thặng dư,C.	Chủ nghĩa duy vật và chủ nghĩa tư bản độc quyền,D.	Chủ nghĩa duy vật lịch sử và học thuyết giá trịthặng dư
Câu 96: Những nhà lý luận nào đã không thấy được tính hai mặt của lao động sản xuất hàng hóa và chưa phân biệt được sự khác nhau giữa sản xuất hàng hóa giản đơn với sản xuất hàng hóa tư bản chủ nghĩa?,A.	A. Xmít và Đ. Ricácđô,"B.	H. Xanh Ximông, S. Phuriê và R. Ôoen",C.	C. Mác và Ph. Ăngghen,D.	G.W.Ph. Hêghen và L. Phoiơbắc
Câu 97: Một trong những hạn chế của chủ nghĩa xã hội không tưởng Anh và Pháp là:,A.	Không thấy được tính lịch sử của giá trị,B.	Không phân tích được một cách chính xác những biểu hiện của giá trị trong phương thức sản xuất tư bản chủ nghĩa,C.	Không luận chứng được một cách khoa học về bản chất của chủ nghĩa tư bản và quy luật phát triển của chủ nghĩa tư bản,"D.	Cả A, B, C"
Câu 98: Một trong những hạn chế của các nhà kinh tế - chính trị học cổ điển Anh là:,A.	Không nhận thức được vai trò và sứ mệnh lịch sử của giai cấp công nhân,B.	Không phân tích được một cách chính xác những biểu hiện của giá trịtrong phương thức sản xuất tư bản chủ nghĩa,C.	Không luận chứng được một cách khoa học về bản chất của chủ nghĩa tư bản và quy luật phát triển của chủ nghĩa tư bản,D.	Tất cả các phương án đều sai
Câu 99: Hạn chế của chủ nghĩa xã hội không tưởng trước Mác là...,A.	Chưa thấy được sứ mệnh lịch sử của giai cấp công nhân,B.	Chưa chỉ ra được con đường đấu tranh cách mạng,C.	Không luận chứng được một cách khoa học về bản chất của chủ nghĩa tư bản và quy luật phát triển của chủ nghĩa tư bản,"D.	Cả A, B, C"
"Câu 100: Cơ sở khoa học khẳng định sự phát sinh, phát triển bởi tính đa dạng di truyền, biến dị và mối liên hệ hữu cơ giữa các loài động, thực vật trong quá trình chọn lọc tự nhiên là:",A.	Thuyết Tiến hóa,B.	Thuyết Tế bào,C.	Lý thuyết Di truyền của Men - đê - lê - ép,D.	Tất cả các phương án đều sai
"Câu 101: Cơ sở khoa học chứng minh sự thống nhất về mặt nguồn gốc hình thái và cấu tạo vật chất của cơ thể động, thực vật và giải thích quá trình phát triển sự sống trong mối liên hệ của chúng là:",A.	Thuyết Tiến hóa,B.	Thuyết Tếbào,C.	Lý thuyết Di truyền của Men - đê - lê - ép,D.	Tất cả các phương án đều sai
Câu 102: Phong trào đấu tranh nào sau đây là một trong những điều kiện ra đời của chủ nghĩa Mác?,A.	Phong trào Hiến chương ở Anh,B.	Công xã Pari,C.	Cách mạng Tháng Mười Nga,D.	Tất cả các phương án đều sai
"Câu 103: Cơ sở khoa học chứng minh mối quan hệ không tách rời nhau, sự chuyển hóa và được bảo toàn của các hình thức vận động của vật chất trong giới tự nhiên là:",A.	Định luật Vạn vật hấp dẫn ,B.	Thuyết Nguyên tử,C.	Định luật bảo toàn và Chuyển hóa năng lượng,D.	Thuyết Tiến hóa
Câu 104: Hạt nhân thế giới quan của chủ nghĩa Mác - Lênin là:,A.	Chủ nghĩa duy vật biện chứng,B.	Phép biện chứng duy vật,C.	Chủ nghĩa duy vật lịch sử,D.	Tất cả các phương án đều sai
Câu 105: Chọn phương án đúng nhất: Chủ nghĩa Mác - Lênin là học thuyết do:,"A.	C. Mác sáng lập, Ph. Ăngghen bảo vệ và phát triển","B.	C. Mác sáng lập, V.I. Lênin bảo vệ và phát triển","C.	C. Mác và Ph. Ăngghen sáng lập, V.I. Lênin bảo vệ và phát triển","D.	C. Mác và V.I. Lênin sáng lập, Ph. Ăngghen bảo vệ và phát triển"
Câu 106: Chọn phương án đúng nhất: Đường lối cách mạng của Đảng Cộng sản Việt Nam xuất phát từ cơ sở lí luận:,A.	Chủ nghĩa Mác,B.	Chủ nghĩa Mác - Lênin và tư tưởng Hồ Chí Minh,C.	Chủ nghĩa Mác - Lênin,D.	Chủ nghĩa Mác và tư tưởng Hồ Chí Minh
Câu 107: Chọn phương án đúng nhất: Chủ nghĩa duy vật biện chứng do ai sáng lập?,A.	C. Mác và V.I. Lênin,B.	C. Mác và Ph. Ăngghen,C.	C. Mác,D.	G.W. Ph. Hêghen
Câu 108: Một trong những điều kiện kinh tế - xã hội dẫn đến sự ra đời của chủ nghĩa Mác là sự ra đời và phát triển của phương thức sản xuất...,A.	Chiếm hữu nô lệ,B.	Phong kiến,C.	Tư bản chủ nghĩa,D.	Cộng sản chủ nghĩa
Câu 109: Giá trị lớn nhất trong triết học của G.W.Ph. Hêghen đã trở thành tiền đề lý luận cho sự ra đời của triết học Mác là:,A.	Quan điểm duy vật trong lĩnh vực tự nhiên,B.	Quan điểm duy vật trong lĩnh vực xã hội,C.	Phép biện chứng,D.	Tất cả các phương án đều sai
Câu 110: Triết học Mác là hệ thống triết học...,A.	Tách rời giữa lý luận và thực tiễn,B.	Thống nhất giữa lý luận và thực tiễn,C.	Chỉ coi trọng thực tiễn,D.	Chỉ coi trọng lí luận
Câu 111: Giá trị lớn nhất trong triết học của L. Phoiơbắc đã trở thành tiền đề lý luận cho sự ra đời của triết học Mác là:,A.	Quan điểm duy tâm về xã hội,B.	Phép biện chứng,"C.	Chủ nghĩa duy vật, vô thần",D.	Tư duy siêu hình
Câu 112: Hạn chế lớn nhất của chủ nghĩa xã hội không tưởng Anh và Pháp cuối thế kỷ XVIII đầu thế kỷ XIX là không phát hiện ra sứ mệnh lịch sử của giai cấp:,A.	Nông dân,B.	Công nhân,C.	Tư sản,D.	Địa chủ
"Câu 113: Cơ sở khoa học để C. Mác và Ph. Ăngghen khẳng định tư tưởng về tính vĩnh viễn, vô tận của thế giới vật chất là:",A.	Học thuyết Tế bào,B.	Thuyết Nguyên tử,C.	Học thuyết Tiến hóa,D.	Định luật Bảo toàn và Chuyển hóa năng lượng 
"Câu 114: Cơ sở khoa học chứng minh không gian và thời gian là hình thức tồn tại của vật chất, luôn gắn liền với vật chất là:",A.	Hình học Ơ - clít,B.	Thuyết Tiến hóa,C.	Thuyết Tế bào,D.	Thuyết Tương đối của Anh - xtanh
Câu 115: Phát minh khoa học được Ph. Ănghen khẳng định là Quy luật cơ bản vĩ đại của sự vận động là...,A.	Hình học Ơ - clít,B.	Cơ học Cổ điển,C.	Định luật Bảo toàn và Chuyển hóa năng lượng,D.	Định luật Vạn vật hấp dẫn
"Câu 116: Điền cụm từ đúng vào chỗ trống sau: ... là lý luận về phương pháp, là hệ thống các quan điểm, các nguyên tắc chỉ đạo con người tìm tòi, xây dựng, lựa chọn và vận dụng các phương pháp trong nhận thức và thực tiễn.",A.	Triết học,B.	Thế giới quan,C.	Ý thức xã hội,D.	Phương pháp luận
Câu 117: Bộ phận giữ vai trò là thế giới quan và phương pháp luận chung nhất của chủ nghĩa Mác - Lênin là…,A.	triết học Mác - Lênin,B.	kinh tế - chính trị học Mác - Lênin,C.	chủ nghĩa xã hội khoa học,D.	tất cả các phương án đều sai
"Câu 118: Trong chủ nghĩa Mác - Lênin, bộ phận lí luận có chức năng làm sáng tỏ bản chất và những quy luật chung nhất của mọi sự vận động, phát triển của thế giới là…",A.	triết học Mác - Lênin,B.	kinh tế - chính trị học Mác - Lênin,C.	chủ nghĩa xã hội khoa học,D.	tất cả các phương án đều sai
Câu 119: Chọn phương án đúng nhất: Những học thuyết kinh tế có ảnh hưởng lớn nhất đến sự ra đời của chủ nghĩa Mác là:,A.	Học thuyết của A.Xmít và Đ.Ricácđô,B.	Học thuyết của Đ.Ricácđô và H.Xanh Ximông,C.	Học thuyết của G.W.Ph. Hêghen và L.Phoiơbắc,D.	Học thuyết của H.Xanh Ximông và A.Xmít
Câu 120: Chọn phương án đúng nhất: Các chức năng cơ bản của triết học là:,A.	Thế giới quan và nhân sinh quan,B.	Thế giới quan và phương pháp luận,C.	Dự báo và nhân sinh quan,D.	Tất cả các phương án đều sai
Câu 121: Chủ nghĩa Mác - Lênin là vũ khí lí luận của giai cấp:,A.	Tư sản,B.	Vô sản,C.	Chủ nô,D.	Nô lệ
"Câu 122: Điền cụm từ đúng vào chỗ trống sau: ... là toàn bộ những quan điểm, quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó.",A.	Triết học,B.	Thế giới quan,C.	Ý thức xã hội,D.	Phương pháp luận
"Câu 123: Điền cụm từ đúng vào chỗ trống sau: ... là lý luận về phương pháp, là hệ thống các quan điểm, các nguyên tắc chỉ đạo con người tìm tòi, xây dựng, lựa chọn và vận dụng các phương pháp trong nhận thức và thực tiễn.",A.	Triết học,B.	Thế giới quan,C.	Ý thức xã hội ,D.	Phương pháp luận
Câu 124: Chọn phương án đúng nhất: Chủ nghĩa Mác - Lênin được cấu thành từ ba bộ phận lý luận cơ bản là:,"A.	Chủ nghĩa xã hội không tưởng, Triết học Mác - Lênin, Kinh tế chính trị học Mác - Lênin","B.	Triết học Mác - Lênin, Kinh tế chính trịhọc Mác - Lênin, Chủ nghĩa xã hội khoa học","C.	Kinh tế chính trị học, Chủ nghĩa xã hội không tưởng, Triết học Mác - Lênin","D.	Triết học cổ điển Đức, Kinh tế học chính trị cổ điển Anh, Chủ nghĩa xã hội không tưởng Pháp"
Câu 125: Bộ phận giữ vai trò là thế giới quan và phương pháp luận chung nhất của chủ nghĩa Mác - Lênin là:,A.	Triết học Mác - Lênin,B.	Kinh tế - chính trị học Mác - Lênin,C.	Chủ nghĩa xã hội khoa học,D.	Tất cả các phương án đều sai
"Câu 126: Trong chủ nghĩa Mác - Lênin, bộ phận lí luận có chức năng làm sáng tỏ bản chất và những quy luật chung nhất của mọi sự vận động, phát triển của thế giới là:",A.	Triết học Mác - Lênin,B.	Kinh tế - chính trị học Mác - Lênin,C.	Chủ nghĩa xã hội khoa học,D.	Tất cả các phương án đều sai
Câu 127: Chọn phương án đúng nhất: Giai đoạn hình thành và phát triển chủ nghĩa Mác do ai thực hiện?,A.	C. Mác,B.	C. Mác và Ph. Ăngghen,C.	V.I. Lênin,"D.	C. Mác, Ph. Ăngghen và V.I. Lênin"
Câu 128: Chọn phương án đúng nhất: Giai đoạn bảo vệ và phát triển chủ nghĩa Mác thành chủ nghĩa Mác - Lênin do ai thực hiện? ,A.	C. Mác,B.	C. Mác và Ph. Ăngghen,C.	V.I. Lênin,"D.	C. Mác, Ph. Ăngghen và V.I. Lênin"
Câu 129: Cuộc cách mạng công nghiệp lần thứ nhất trong phương thức sản xuất tư bản chủ nghĩa diễn ra vào...,A.	Cuối thế kỷ XVI,B.	Cuối thế kỷ XVII,C.	Cuối thế kỷ XVIII,D.	Cuối thế kỷ XIX
Câu 130: Cuộc cách mạng công nghiệp lần thứ nhất trong phương thức sản xuất tư bản chủ nghĩa diễn ra đầu tiên ở quốc gia nào?,A.	Anh,B.	Pháp,C.	Đức,D.	Nga
Câu 131: Chọn phương án đúng nhất: Công lao lớn nhất của G.W.Ph. Hêghen là...,A.	Phê phán phương pháp siêu hình,B.	Phê phán phương pháp siêu hình và xây dựng phép biện chứng duy tâm dưới dạng lý luận chặt chẽ,C.	Phê phán phương pháp biện chứng và xây dựng phép biện chứng duy vật,D.	Phê phán phương pháp siêu hình và xây dựng chủ nghĩa duy vật
Câu 132: Công lao lớn nhất của L. Phoiơbắc là...,A.	Đấu tranh chống chủ nghĩa duy vật,B.	Đấu tranh chống chủ nghĩa duy tâm và tôn giáo,C.	Đấu tranh chống phương pháp siêu hình,D.	Tất cả các phương án đều sai
Câu 133: Điền từ vào chỗ trống sau: C. Mác và Ph. Ăngghen đã phê phán tính chất... trong triết học G.W.Ph. Hêghen,A.	Duy vật chất phác ,B.	Duy vật siêu hình,C.	Duy tâm thần bí,D.	Duy tâm chủ quan
Câu 134: Một trong những tiền đề quan trọng cho bước chuyển biến tư tưởng của C. Mác và Ph. Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật là:,A.	Phép biện chứng của G.W.Ph. Hêghen,B.	Chủ nghĩa duy vật vô thần của L. Phoiơbắc,C.	Tư tưởng kinh tế của A. Xmít,D.	Tư tưởng xã hội chủ nghĩa của H. Xanh Ximông
Câu 135: Cách mạng Tháng Mười Nga năm 1917 thành công đã mở ra một thời kỳ mới - thời kỳ quá độ từ... trên phạm vi quốc tế.,A.	Chủ nghĩa tư bản lên chủ nghĩa xã hội,B.	Phong kiến lên chủ nghĩa tư bản,"C.	Thực dân, phong kiến lên chủ nghĩa xã hội",D.	Chủ nghĩa xã hội lên chủ nghĩa cộng sản
Câu 136: Nhà nước chuyên chính vô sản đầu tiên trong lịch sử nhân loại ra đời năm...,A.	1871,B.	1917,C.	1945,D.	1986
"Câu 137: Quan điểm cho rằng: Theo quy luật tiến hóa của lịch sử, loài người nhất định sẽ tiến đến chủ nghĩa xã hội là của...",A.	C. Mác,B.	Quốc tế Cộng sản,C.	Ph. Ăngghen,D.	Đảng Cộng sản Việt Nam
Câu 138: Chọn phương án đúng nhất: Ba nguồn gốc lí luận trực tiếp cho sự ra đời của chủ nghĩa Mác là: ,A.	Chủ nghĩa duy vật vô thần của L. Phoiơbắc,B.	Định luật Bảo toàn và Chuyển hóa năng lượng,C.	Triết học cổ điển Đức,D.	Triết học cổ điển Đức
Câu 139: Chọn phương án đúng nhất: Những tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa Mác là:,A.	Triết học cổ điển Đức,B.	Học thuyết Tế bào,C.	Học thuyết Tiến hóa,D.	Tất cả các phương án đều sai
Câu 140: Đối tượng nghiên cứu của triết học Mác - Lênin là:,"A.	Những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy","B.	Những quy luật chính trị - xã hội của quá trình phát sinh, hình thành và phát triển của hình thái kinh tế - xã hội cộng sản chủ nghĩa","C.	Những quy luật chính trị - xã hội của quá trình phát sinh, hình thành và phát triển của hình thái kinh tế - xã hội tư bản chủ nghĩa","D.	Cả A, B, C sai"
"Câu 141: Tác phẩm nào thể hiện tập trung việc V.I. Lênin đã kế thừa và phát triển quan niệm của chủ nghĩa Mác về vật chất, về mối quan hệ giữa vật chất và ý thức, tồn tại xã hội và ý thức xã hội?",A.	Làm gì,B.	Chủ nghĩa duy vật và chủ nghĩa kinh nghiệm phê phán,C.	Ba nguồn gốc và ba bộ phận cấu thành chủ nghĩa Mác ,D.	Bút ký triết học
Câu 142: Thời kỳ C. Mác và Ph. Ăngghen tiếp tục bổ sung và phát triển học thuyết của mình là:,A.	1838 - 1841,B.	1841 - 1843,C.	1844 - 1848,D.	1848 - 1895
Câu 143: Thời kỳ đánh dấu bước chuyển biến tư tưởng của C. Mác và Ph. Ăngghen từ chủ nghĩa duy tâm và dân chủ cách mạng sang chủ nghĩa duy vật và chủ nghĩa cộng sản là:,A.	1838 - 1841,B.	1841 - 1843,C.	1844 - 1848,D.	1848 – 1895
"Câu 144: Ý thức có trước, vật chất có sau, ý thức quyết định vật chất, đây là quan điểm nào?",A.	Duy vật,B.	Duy vật chủ quan,C.	Duy tâm,D.	Nhị  nguyên
"Câu 145: Chọn đáp án đúng nhất: Ý thức, cảm giác con người sinh ra và quyết định sự tồn tại của các sự vật. Quan điểm này mang tính chất gì?",A.	Duy tâm chủ quan,B.	Duy tâm,C.	Duy tâm khách quan,D.	Duy vật
"Câu 146: Chọn đáp án đúng nhất: Ý niệm tuyệt đối sản sinh ra thế giới, đây là quan điểm gì?",A.	Duy vật,B.	Duy tâm chủ quan,C.	Duy tâm,D.	Duy tâm khách quan 
Câu 147: Hãy sắp xếp theo trình tự xuất hiện từ sớm nhất đến muộn nhất các hình thức thế giới quan sau:,A.	Tôn giáo - thần thoại - triết học.,B.	Thần thoại - tôn giáo - triết học.,C.	Triết học - tôn giáo - thần thoại.,D.	Thần thoại - triết học - tôn giáo.
Câu 148: Triết học nghiên cứu thế giới như thế nào?,A.	Như một đối tượng vật chất cụ thể,B.	Như một hệ đối tượng vật chất nhất định,C.	Như một chỉnh thể thống nhất.,D.	Các phương án trên đều đúng
"Câu 149: Những nhà triết học nào xem thường kinh nghiệm, xa rời cuộc sống?",A.	Chủ nghĩa kinh nghiệm,B.	Chủ nghĩa duy vật biện chứng,C.	Chủ nghĩa kinh viện,D.	Chủ nghĩa duy vật siêu hình
Câu 150: Khẳng định nào sau đây là đúng:,A.	Phép biện chứng của Hêghen là phép biện chứng duy vật,B.	Phép biện chứng của Hêghen là phép biện chứng tự phát,C.	Phép biện chứng của Hêghen là phép biện chứng duy tâm khách quan,D.	Phép biện chứng của Hêghen là phép biện chứng tiên nghiệm chủ quan
Câu 151: Phoiơbắc là nhà triết học theo theo trường phái nào?,A.	Chủ nghĩa duy tâm khách quan,B.	Chủ nghĩa duy tâm chủ quan,C.	Chủ nghĩa duy vật biện chứng,D.	Chủ nghĩa duy vật siêu hình
"Câu 152: Con người sáng tạo ra thượng đế, bản tính con người là tình yêu, tôn giáo cũng là một tình yêu. Nhà triết học nào khẳng định như vậy?",A.	Cantơ,B.	Hêghen,C.	Phoiơbắc,D.	Điđrô
Câu 153: Ưu điểm lớn nhất của triết học cổ điển Đức là gì?,A.	Phát triển tư tưởng duy vật về thế giới của thế kỷ XVII – XVIII,B.	Khắc phục triệt để quan điểm siêu hình của chủ nghĩa duy vật cũ,C.	Phát triển tư tưởng biện chứng đạt trình độ một hệ thống lý luận,D.	Phê phán quan điểm tôn giáo về thế giới
Câu 154: Chọn phương án đúng nhất: Mặt thứ nhất của vấn đề cơ bản của triết học là:,"A.	Giữa vật chất và ý thức thì cái nào có trước, cái nào có sau, cái nào quyết định cái nào.",B.	Con người có khả năng nhận thức được thế giới hay không.,C.	Vấn đề quan hệ giữa vật chất và ý thức.,D.	Vấn đề giữa tư duy và tồn tại.
Câu 155: Quan điểm: “Vật chất và ý thức là hai nguyên thể đầu tiên cùng song song tồn tại” là quan điểm của trường phái triết học nào?,A.	Duy vật biện chứng,B.	Duy tâm khách quan,C.	Duy vật siêu hình,D.	Nhịnguyên luận
Câu 156: Ngành khoa học nào phát triển rực rỡ nhất và có ảnh hưởng lớn nhất đến phương pháp tư duy của thời kỳ cận đại?,A.	Toán học,B.	Hoá học,C.	Sinh học,D.	Cơ học
Câu 157: Những trường phái triết học nào xem thường lý luận?,A.	Chủ nghĩa duy tâm khách quan,B.	Chủ nghĩa kinh viện,C.	Chủ nghĩa duy vật siêu hình,D.	Chủ nghĩa kinh nghiệm
"Câu 158: Những nhà triết học nào xem thường kinh nghiệm, xa rời cuộc sống?",A.	Chủ nghĩa kinh nghiệm,B.	Chủ nghĩa duy vật biện chứng,C.	Chủ nghĩa kinh viện,D.	Chủ nghĩa duy vật siêu hình
Câu 159: Ai là người sáng tạo ra hệ thống đầu tiên của chủ nghĩa duy vật siêu hình trong lịch sử triết học?,A.	Ph. Bêcơn,B.	Tô mát Hốp Xơ,C.	Giôn Lốc Cơ,D.	Xpinôda
"Câu 160: Khi giải quyết vấn đề cơ bản của triết học, Đềcáctơ đứng trên lập trường triết học nào?",A.	Chủ nghĩa duy vật,B.	Chủ nghĩa duy tâm khách quan,C.	Chủ nghĩa duy tâm chủ quan,D.	Thuyết nhịnguyên
"Câu 161: Luận điểm Đềcáctơ ""tôi tư duy vậy tôi tồn tại"" có ý nghĩa gì?","A.	Nhấn mạnh vai trò của tư duy, duy lý",B.	Nhấn mạnh vai trò của cảm giác,C.	Phủ nhận vai trò của chủ thể,D.	Đề cao kinh nghiệm
"Câu 162: Về mặt triết học, định luật bảo toàn và chuyển hoá năng lượng chứng minh cho quan điểm nào?",A.	Quan điểm siêu hình phủ nhận sự vận động.,B.	Quan điểm duy tâm phủ nhận sự vận động là khách quan.,C.	Quan điểm biện chứng duy vật thừa nhận sự chuyển hoá lẫn nhau của giới tự nhiên vô cơ.,"D.	Cả A, B, C đều sai"
"Câu 163: Ba phát minh trong khoa học tự nhiên: định luật bảo toàn và chuyển hoá năng lượng, học thuyết tế bào, học thuyết tiến hoá chứng minh thế giới vật chất có tính chất gì?",A.	Tính chất tách rời tĩnh tại của thế giới vật chất.,B.	Tính chất biện chứng của sự vận động và phát triển của thế giới vật chất.,C.	Tính chất không tồn tại thực của thế giới vật chất.,D.	Cả A và C là đúng
"Câu 164: Phát minh nào trong khoa học tự nhiên nửa đầu thế kỷ XIX vạch ra nguồn gốc tự nhiên của con ngươì, chống lại quan điểm tôn giáo?",A.	Học thuyết tế bào.,B.	Học thuyết tiến hóa.,C.	Định luật bảo toàn và chuyển hoá năng lượng.,D.	Học thuyết nguyên tử
Câu 165: Phát minh nào trong khoa học tự nhiên nửa đầu thế kỷ XIX vạch ra sự thống nhất giữa thế giới động vật và thực vật?,A.	Học thuyết tế bào.,B.	Học thuyết tiến hoá.,C.	Định luật bảo toàn và chuyển hoá năng lượng.,D.	Học thuyết Nhật tâm
Câu 166: Coi sự vật cảm tính là cái bóng của ý niệm. Đó là quan điểm của trường phái triết học nào?,A.	Chủ nghĩa duy tâm chủ quan,B.	Chủ nghĩa duy tâm khách quan,C.	Chủ nghĩa duy vật siêu hình,D.	Chủ nghĩa duy vật biện chứng
Câu 167: Coi thế giới vật chất là kết quả của quá trình phát triển của ý niệm tuyệt đối là quan điểm cuả trường phái triết học nào?,A.	Chủ nghĩa duy tâm chủ quan.,B.	Chủ nghĩa duy tâm khách quan.,C.	Chủ nghĩa duy vật siêu hình.,D.	Chủ nghĩa duy vật biện chứng.
"Câu 168: Luận điểm cho: ""tồn tại tức là được cảm giác"" là của ai và thuộc lập trường triết học nào? ","A.	Của Hêghen, thuộc lập trường của chủ nghĩa duy tâm khách quan.","B.	Của Béc-cơ-li, thuộc lập trường chủ nghĩa duy tâm chủ quan.","C.	Của Pla-tôn, thuộc lập trường chủ nghĩa duy tâm khách quan.","D.	Của A-ri-xtốt, thuộc lập trường triết học nhị nguyên."
